"id","filename","filepath","adatecreated","ndatecreated","adatecheckedin","ndatecheckedin","businessname","licensenumber","batchid","productname","sampleid","tvsampleid","metrcnumber","approved","notified"
3026,"206262-Terpenes.pdf","reports/pdf/206262-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","JKC Manufacturing LLC","404R-00114","","Sativa 100mg Bottle","206262","2633","1A40003126874F2000000021","1440396000","144045721518981200"
3027,"206261-Terpenes.pdf","reports/pdf/206261-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","JKC Manufacturing LLC","404R-00114","","Indica 100mg bottle","206261","2632","1A40003126874F2000000020","1440396000","144045721518981200"
3028,"206255-Terpenes.pdf","reports/pdf/206255-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M2937","303 Kush","206255","2626","1A400050026874A400003752","1440396000","144045721518981200"
3029,"206254-Terpenes.pdf","reports/pdf/206254-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M2937","Base","206254","2625","1A400050026874A400003750","1440396000","144045721518981200"
3030,"206253-Terpenes.pdf","reports/pdf/206253-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M0071","Terpene Oil","206253","2624","1A400050026874A400003745","1440396000","144045721518981200"
3031,"206252-Terpenes.pdf","reports/pdf/206252-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M0071","RPM Post","206252","2623","1A400050026874A400003743","1440396000","144045721518981200"
3032,"206251-Terpenes.pdf","reports/pdf/206251-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","Left Bank LLC (Dixie)","404-00036","M0071","RPM Pre","206251","2622","1A400050026874A400003742","1440396000","144045721518981200"
3033,"206242-Terpenes.pdf","reports/pdf/206242-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","080515-C","WiFi OG Wax","206242","2613","1A400031268748F000001368","1440396000","144045721518981200"
3034,"206241-Terpenes.pdf","reports/pdf/206241-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-T","WiFi OG Wax","206241","2612","1A400031268748F000001366","1440396000","144045721518981200"
3035,"206240-Terpenes.pdf","reports/pdf/206240-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","073015-D","Miss Devil Wax","206240","2611","1A400031268748F000001364","1440396000","144045721518981200"
3036,"206239-Terpenes.pdf","reports/pdf/206239-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-R","WiFi OG Wax","206239","2610","1A400031268748F000001362","1440396000","144045721518981200"
3037,"206238-Terpenes.pdf","reports/pdf/206238-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-N","Lee Roy Wax","206238","2609","1A400031268748F000001360","1440396000","144045721518981200"
3038,"206237-Terpenes.pdf","reports/pdf/206237-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-U","A.R.C. Wax","206237","2608","1A400031268748F000001358","1440396000","144045721518981200"
3039,"206236-Terpenes.pdf","reports/pdf/206236-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081815-C","Hybrid Wax","206236","2607","1A400031268748F000001356","1440396000","144045721518981200"
3040,"206235-Terpenes.pdf","reports/pdf/206235-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-P","White Fire Wax","206235","2606","1A400031268748F000001354","1440396000","144045721518981200"
3041,"206234-Terpenes.pdf","reports/pdf/206234-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-O","A.R.C. Wax","206234","2605","1A400031268748F000001352","1440396000","144045721518981200"
3042,"206233-Terpenes.pdf","reports/pdf/206233-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-T","Golden Goat Wax","206233","2604","1A400031268748F000001350","1440396000","144045721518981200"
3043,"206232-Terpenes.pdf","reports/pdf/206232-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081715-U","Highway Man Wax","206232","2603","1A400031268748F000001348","1440396000","144045721518981200"
3044,"206231-Terpenes.pdf","reports/pdf/206231-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-A","Breakfast Live Resin","206231","2602","1A400031268748F000001346","1440396000","144045721518981200"
3045,"206230-Terpenes.pdf","reports/pdf/206230-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081015-B","Durban Poison Sugar Wax","206230","2601","1A400031268748F000001344","1440396000","144045721518981200"
3046,"206229-Terpenes.pdf","reports/pdf/206229-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","080315-C","Golden Goat Live Wax","206229","2600","1A400031268748F000001341","1440396000","144045721518981200"
3047,"206228-Terpenes.pdf","reports/pdf/206228-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081415-A","LeeRoy TK5","206228","2599","1A400031268748F000001339","1440396000","144045721518981200"
3048,"206227-Terpenes.pdf","reports/pdf/206227-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-B","Lee Roy TK5","206227","2598","1A400031268748F000001337","1440396000","144045721518981200"
3049,"206226-Terpenes.pdf","reports/pdf/206226-Terpenes.pdf","08/24/2015","1440396000","2015-08-21","1440136800","TR Scientific LLC","404R-00015","081315-E","Cookie Wreck Shatter","206226","2597","1A400031268748F000001335","1440396000","144045721518981200"
3051,"206271-Cannabinoids.pdf","reports/pdf/206271-Cannabinoids.pdf","08/24/2015","1440396000","2015-08-21","1440136800","EBBU LLC","404-00440","M0092","Ebbu Hash 25 um","206271","2642","1A4000500268763800000105-25","1440396000","144045721518981200"
